target_date,ewma_violation,gb_violation,historical_violation,actual_return,violation_method_count,exception_category,calendar_month,target_position,cluster_id
2025-06-26,False,False,False,-0.000713559650226,0,no_violation,2025-06,126,
2025-06-27,False,False,False,0.0083658954181616,0,no_violation,2025-06,127,
2025-06-30,False,False,False,-0.0012578206282987,0,no_violation,2025-06,128,
2025-07-01,False,False,False,-0.0040498346761391,0,no_violation,2025-07,129,
2025-07-02,False,False,False,0.004608997988769,0,no_violation,2025-07,130,
2025-07-03,False,False,False,0.0043210675479904,0,no_violation,2025-07,131,
2025-07-04,False,False,False,0.0194303150254477,0,no_violation,2025-07,132,
2025-07-07,False,False,False,0.0095209760093347,0,no_violation,2025-07,133,
2025-07-08,False,False,False,0.0210517052392438,0,no_violation,2025-07,134,
2025-07-09,False,False,False,-0.0014316484547664,0,no_violation,2025-07,135,
2025-07-10,False,False,False,0.0098759745383562,0,no_violation,2025-07,136,
2025-07-11,False,False,False,0.0180663748417027,0,no_violation,2025-07,137,
2025-07-14,False,False,False,0.0034104501394133,0,no_violation,2025-07,138,
2025-07-15,False,False,False,-0.0046201958584353,0,no_violation,2025-07,139,
2025-07-16,False,False,False,0.0120569337696367,0,no_violation,2025-07,140,
2025-07-17,False,False,False,0.0029319207700811,0,no_violation,2025-07,141,
2025-07-18,False,False,False,-0.0029454202892264,0,no_violation,2025-07,142,
2025-07-21,False,False,False,0.0027083791564566,0,no_violation,2025-07,143,
2025-07-22,False,False,False,0.01049665613474,0,no_violation,2025-07,144,
2025-07-23,False,False,False,-0.0011806766997815,0,no_violation,2025-07,145,
2025-07-24,False,False,False,-0.0070287390670425,0,no_violation,2025-07,146,
2025-07-25,False,False,False,0.0022985611922955,0,no_violation,2025-07,147,
2025-07-28,False,False,False,0.0061253695459072,0,no_violation,2025-07,148,
2025-07-29,True,True,True,-0.0455756833763016,3,shared_all_3,2025-07,149,7
2025-07-30,False,False,False,0.0034019085573343,0,no_violation,2025-07,150,
2025-07-31,False,True,True,-0.0214085660035721,2,shared_exactly_2,2025-07,151,7
2025-08-01,False,False,False,0.0117952926289207,0,no_violation,2025-08,152,
2025-08-04,False,False,False,0.009875750945222,0,no_violation,2025-08,153,
2025-08-05,False,False,False,0.0234386216096886,0,no_violation,2025-08,154,
2025-08-06,False,False,False,0.0209719097718336,0,no_violation,2025-08,155,
2025-08-07,False,False,False,0.0213584594192998,0,no_violation,2025-08,156,
2025-08-08,False,False,False,-0.0096166262180784,0,no_violation,2025-08,157,
2025-08-11,False,False,False,0.0048126128986208,0,no_violation,2025-08,158,
2025-08-12,False,False,False,0.0080473716890345,0,no_violation,2025-08,159,
2025-08-13,False,False,True,-0.0181826345959705,1,historical_only,2025-08,160,8
2025-08-14,False,False,False,0.0018297214563019,0,no_violation,2025-08,161,
2025-08-15,False,False,False,-0.0166107199891094,0,no_violation,2025-08,162,
2025-08-18,False,False,False,-0.0005141697096028,0,no_violation,2025-08,163,
2025-08-19,False,False,False,-0.0130649404382563,0,no_violation,2025-08,164,
2025-08-20,False,False,False,-0.0106638614701477,0,no_violation,2025-08,165,
2025-08-21,False,False,False,0.0212874812432314,0,no_violation,2025-08,166,
2025-08-22,True,True,True,-0.0291548029768585,3,shared_all_3,2025-08,167,9
2025-08-25,False,False,False,-0.0085348899615331,0,no_violation,2025-08,168,
2025-08-26,False,False,False,0.0434385607506539,0,no_violation,2025-08,169,
2025-08-27,False,False,False,0.0175533639998104,0,no_violation,2025-08,170,
2025-08-28,False,False,False,0.0129347086202367,0,no_violation,2025-08,171,
2025-08-29,False,False,False,-0.0012638834639342,0,no_violation,2025-08,172,
2025-09-03,False,False,False,0.0037425488188885,0,no_violation,2025-09,173,
2025-09-04,False,False,False,0.0333101965208474,0,no_violation,2025-09,174,
2025-09-05,False,True,True,-0.0274874723988386,2,shared_exactly_2,2025-09,175,10
2025-09-08,False,False,False,-0.0081230021353355,0,no_violation,2025-09,176,
2025-09-09,False,False,False,0.0090368750776726,0,no_violation,2025-09,177,
2025-09-10,False,False,False,-0.0051254754221929,0,no_violation,2025-09,178,
2025-09-11,False,False,False,0.0206994086426458,0,no_violation,2025-09,179,
2025-09-12,False,False,False,0.0092898346599242,0,no_violation,2025-09,180,
2025-09-15,False,False,False,0.0069328316054166,0,no_violation,2025-09,181,
