forecast_date,target_date,target_return,historical_quantile,historical_var,historical_violation,historical_exceedance,ewma_quantile,ewma_var,ewma_violation,ewma_exceedance,both_violation,historical_only,ewma_only,exception_type
2021-02-05,2021-02-08,-0.0250338306041355,-0.0381251882202617,0.0381251882202617,False,0.0,-0.046895602356784805,0.046895602356784805,False,0.0,False,False,False,none
2021-02-08,2021-02-09,0.0253859849810179,-0.0381251882202617,0.0381251882202617,False,0.0,-0.04657229138672344,0.04657229138672344,False,0.0,False,False,False,none
2021-02-09,2021-02-17,0.0498294913279185,-0.0381251882202617,0.0381251882202617,False,0.0,-0.046297457678377674,0.046297457678377674,False,0.0,False,False,False,none
2021-02-17,2021-02-18,0.0077667088617969,-0.0381251882202617,0.0381251882202617,False,0.0,-0.049172305601287894,0.049172305601287894,False,0.0,False,False,False,none
2021-02-18,2021-02-19,-0.0142802660570816,-0.0381251882202617,0.0381251882202617,False,0.0,-0.04777690749195058,0.04777690749195058,False,0.0,False,False,False,none
2021-02-19,2021-02-22,-0.0009511996339615,-0.0381251882202617,0.0381251882202617,False,0.0,-0.04667739019238943,0.04667739019238943,False,0.0,False,False,False,none
2021-02-22,2021-02-23,-0.0083450516298472,-0.0361943722215342,0.0361943722215342,False,0.0,-0.045257031556204835,0.045257031556204835,False,0.0,False,False,False,none
2021-02-23,2021-02-24,-0.0040885628496448,-0.0361943722215342,0.0361943722215342,False,0.0,-0.044006951670612804,0.044006951670612804,False,0.0,False,False,False,none
2021-02-24,2021-02-25,0.0125685788367252,-0.0361943722215342,0.0361943722215342,False,0.0,-0.04269811114882674,0.04269811114882674,False,0.0,False,False,False,none
2021-02-25,2021-02-26,0.0091410539483678,-0.0361943722215342,0.0361943722215342,False,0.0,-0.0417059290966251,0.0417059290966251,False,0.0,False,False,False,none
2021-02-26,2021-03-01,0.0113902807509259,-0.0361943722215342,0.0361943722215342,False,0.0,-0.04060278043791028,0.04060278043791028,False,0.0,False,False,False,none
2021-03-01,2021-03-02,0.0061619130144869,-0.0361943722215342,0.0361943722215342,False,0.0,-0.03963245413521901,0.03963245413521901,False,0.0,False,False,False,none
